bug_id,bug_type,component,environment,platform,operating_system,browser,reporter_role,module,status,affected_users,response_time_ms,error_code,business_impact_score,reproduction_rate,memory_usage_mb,cpu_usage_pct,lines_of_code,open_issues_count,fix_time_hours,num_comments,num_attachments,sprint_number,test_coverage_pct,reopen_count,num_linked_bugs,api_call_count,db_query_time_ms,is_regression,is_security_related,has_workaround,customer_reported,sla_breached,created_at,resolved_at,severity
BUG-000011,BufferOverflow,UserManagement,Development,Android,Android12,Firefox,DevOps,ThirdParty,Closed,342,11346,417,14,66,1631,73.46,37778,43,508,27,6,19,36.05,0,5,593,1582,0,0,1,1,0,2023-01-17,2023-02-07,High
BUG-000012,IncorrectCalculation,DataPipeline,Development,Android,Windows10,Safari,Product_Manager,Plugin,Reopened,459,2920,205,46,55,3822,24.22,15330,365,563,11,0,18,1.25,0,6,277,2640,0,1,0,0,0,2023-03-11,2023-04-03,High
BUG-000013,FileNotFound,Scheduler,QA,Web,macOS13,Edge,DevOps,Core,Resolved,3284,1676,183,75,8,1654,13.24,4068,271,235,11,0,8,26.01,5,5,882,1554,0,0,1,1,1,2023-08-19,2023-08-28,High
BUG-000014,SQLInjection,UserManagement,QA,API,CentOS7,Chrome,Client,Plugin,Reopened,2848,3703,240,50,96,283,19.98,4811,444,153,8,2,48,30.24,1,10,316,255,0,0,0,0,1,2022-12-31,2023-01-06,Critical
BUG-000015,IncorrectCalculation,CacheLayer,QA,Web,Android12,Chrome,Client,ThirdParty,Closed,4600,8075,300,51,34,1979,18.52,5581,93,467,14,1,38,56.09,3,0,650,2368,0,0,0,1,0,2022-10-11,2022-10-30,Critical
BUG-000016,UIGlitch,Frontend,Development,Android,iOS16,Chrome,End_User,Plugin,In_Progress,374,4781,382,3,98,3794,69.99,38709,430,178,33,9,20,93.67,3,0,859,575,1,0,1,0,0,2021-11-02,2021-11-09,Low
BUG-000017,UIGlitch,Analytics,Production,iOS,Android12,Chrome,Developer,ThirdParty,Open,4333,11876,185,7,32,266,0.84,38398,263,550,26,8,43,55.81,5,3,284,2929,0,0,0,0,1,2023-05-15,2023-06-06,Critical
BUG-000018,DataCorruption,Payment,Development,Web,macOS13,Mobile_App,Client,Core,Closed,2083,3967,420,46,23,3193,39.44,19109,120,14,41,4,14,54.48,5,5,505,1699,0,0,1,0,0,2021-02-07,2021-02-07,Critical
BUG-000019,LogicError,SearchEngine,Development,Desktop,Ubuntu20,Firefox,Client,Plugin,Resolved,376,4434,452,21,87,3887,16.54,15281,361,689,27,1,18,39.21,4,7,590,1214,0,0,0,0,0,2021-03-17,2021-04-14,Medium
BUG-000020,NullPointerException,CacheLayer,Development,Desktop,Ubuntu20,Chrome,QA_Engineer,Core,Open,1970,11979,541,37,44,3631,48.6,6595,377,688,24,5,11,27.7,3,2,318,768,0,1,0,0,0,2021-01-16,2021-02-13,Medium
BUG-000021,NullPointerException,UserManagement,QA,Android,CentOS7,Mobile_App,Product_Manager,ThirdParty,Reopened,1647,8829,480,8,14,3201,33.98,38828,148,500,45,7,24,40.65,1,9,560,499,0,0,0,1,0,2023-01-28,2023-02-17,Medium
BUG-000022,UncaughtException,Database,Development,Android,Ubuntu20,Edge,QA_Engineer,Integration,Open,186,14089,440,51,60,3873,59.76,43027,375,113,7,0,39,84.82,3,10,299,144,1,1,0,0,0,2022-04-05,2022-04-09,Critical
BUG-000023,FileNotFound,Analytics,Development,API,macOS13,Safari,Product_Manager,Core,Resolved,10,545,303,8,87,397,44.79,804,115,558,6,10,41,25.34,5,2,329,2524,1,0,0,1,0,2021-10-17,2021-11-09,Low
BUG-000024,DataCorruption,UserManagement,Development,Desktop,CentOS7,N/A,Client,Core,In_Progress,3175,4584,128,79,35,2593,30.11,43810,110,273,1,3,40,14.72,5,2,785,2026,1,0,1,0,0,2023-01-30,2023-02-10,Critical
BUG-000025,XSS,CacheLayer,QA,Web,Windows11,Edge,Client,Core,In_Progress,1135,60,187,84,80,3642,83.07,29813,420,458,17,10,14,25.01,4,8,118,2070,1,0,1,0,0,2023-08-01,2023-08-20,High
BUG-000026,FileNotFound,Notification,Production,Android,Windows11,N/A,Product_Manager,Internal,Closed,4191,9122,139,2,52,1122,65.72,32548,95,245,15,1,23,90.6,4,5,321,1767,0,0,0,0,0,2022-01-14,2022-01-24,Critical
BUG-000027,XSS,Analytics,Development,iOS,iOS16,Mobile_App,Developer,Integration,In_Progress,2220,4376,464,5,16,2706,26.85,4375,268,445,7,4,18,75.48,2,7,242,2305,0,0,1,1,0,2023-01-02,2023-01-20,Low
BUG-000028,IncorrectCalculation,DataPipeline,Development,Desktop,Ubuntu20,N/A,End_User,Plugin,Closed,337,1006,552,3,33,976,67.72,7151,174,697,15,4,35,76.2,3,7,794,2150,0,0,0,0,0,2023-04-30,2023-05-29,Low
BUG-000029,FileNotFound,Frontend,Development,Web,Windows11,Safari,Client,Integration,Resolved,795,1424,573,11,42,2453,46.23,18658,63,81,27,1,36,12.1,3,7,142,2416,0,0,1,1,0,2023-07-23,2023-07-26,Low
BUG-000030,UncaughtException,Database,Development,Android,Ubuntu20,Firefox,Product_Manager,Core,Closed,2567,1357,559,24,24,3014,67.85,31738,299,40,27,1,9,50.73,0,8,680,1055,0,1,0,0,0,2022-05-06,2022-05-07,High
BUG-000031,NullPointerException,FileStorage,Development,Desktop,Ubuntu20,Edge,Client,ThirdParty,Reopened,88,9821,248,13,8,639,89.69,34689,436,75,15,9,4,41.67,0,10,905,663,0,0,0,0,0,2021-08-08,2021-08-11,Low
BUG-000032,UIGlitch,CacheLayer,Development,API,Windows10,Edge,Client,Integration,Reopened,765,523,135,1,80,2093,82.31,39119,387,289,22,5,38,64.01,1,1,278,681,1,0,0,0,0,2022-08-05,2022-08-17,Low
BUG-000033,UIGlitch,Authentication,Staging,API,Windows11,Edge,QA_Engineer,Internal,Closed,4561,4328,547,66,38,2577,51.44,38506,286,548,24,10,36,83.53,1,5,76,1240,1,0,0,1,1,2021-02-02,2021-02-24,Critical
BUG-000034,UIGlitch,Scheduler,Staging,Android,Windows11,N/A,Client,Plugin,Closed,459,10195,247,20,39,3205,48.26,15290,15,5,15,0,21,36.29,1,0,386,2159,0,0,1,1,0,2022-07-25,2022-07-25,High
BUG-000035,AuthBypass,Reporting,UAT,Desktop,Ubuntu20,Safari,Client,Integration,In_Progress,1958,9413,339,3,70,2992,89.54,49528,212,205,9,2,47,27.89,1,7,361,2769,1,1,0,0,1,2022-02-04,2022-02-12,Critical
BUG-000036,NullPointerException,FileStorage,UAT,Android,Windows11,Mobile_App,DevOps,Integration,In_Progress,1764,2899,451,94,5,3222,27.12,21845,133,126,26,0,41,40.41,2,5,438,1154,1,0,1,0,1,2021-08-04,2021-08-09,High
BUG-000037,FileNotFound,CacheLayer,Development,Web,Windows11,N/A,Developer,Integration,Closed,2417,10878,244,1,46,1437,83.99,24117,189,88,42,8,32,70.77,3,5,253,2931,0,1,0,0,1,2022-07-06,2022-07-09,Medium
BUG-000038,DataCorruption,Database,Staging,Desktop,Ubuntu20,Chrome,End_User,Core,Closed,3277,11836,222,59,94,4028,83.96,15398,195,617,25,0,26,25.25,0,4,543,148,0,0,1,0,1,2022-01-10,2022-02-04,Critical
BUG-000039,UIGlitch,EmailService,Development,Desktop,Windows10,Firefox,Client,Internal,Reopened,1168,898,386,22,54,2670,7.9,39638,453,241,34,5,6,39.16,0,1,523,2284,1,1,0,1,0,2023-02-13,2023-02-23,Low
BUG-000040,NullPointerException,API_Gateway,Production,API,Ubuntu20,Safari,Client,ThirdParty,Closed,1777,1877,110,43,13,1899,36.8,23086,319,174,4,6,50,33.44,5,2,58,278,0,0,1,0,1,2021-05-26,2021-06-02,Critical
BUG-000041,NullPointerException,Authentication,UAT,Android,macOS13,Mobile_App,End_User,ThirdParty,In_Progress,3215,4366,247,84,49,3857,85.01,42455,11,210,39,7,8,44.1,0,7,392,2571,0,0,1,1,1,2022-07-20,2022-07-28,Critical
BUG-000042,UIGlitch,Analytics,Development,API,macOS13,Edge,QA_Engineer,Core,Resolved,308,422,111,29,90,2681,76.78,3233,355,140,27,3,14,67.49,5,1,15,1355,0,0,0,1,1,2021-01-10,2021-01-15,Low
BUG-000043,SQLInjection,Payment,Development,API,iOS16,Chrome,Developer,Core,Resolved,1783,1214,142,15,5,3995,78.42,3930,180,267,49,7,14,75.88,5,3,268,1462,0,0,0,0,0,2021-01-21,2021-02-01,High
BUG-000044,FileNotFound,FileStorage,Development,API,Windows11,Safari,Client,ThirdParty,Closed,4433,4978,528,11,91,1692,50.98,22926,467,569,19,9,30,23.07,1,8,873,2356,0,1,1,0,1,2021-08-12,2021-09-04,High
BUG-000045,XSS,EmailService,Development,iOS,macOS13,Mobile_App,Developer,Core,Closed,1682,94,530,54,91,2258,70.28,5195,397,465,41,10,47,98.45,0,3,627,1581,1,1,0,0,0,2022-12-01,2022-12-20,High
BUG-000046,XSS,SearchEngine,Development,Android,Windows10,Firefox,Client,Internal,Reopened,1156,5855,146,20,1,1442,47.92,27683,18,71,48,7,50,30.56,4,7,137,1357,0,0,0,0,1,2022-02-06,2022-02-08,Low
BUG-000047,NullPointerException,DataPipeline,Development,API,iOS16,Chrome,Product_Manager,Plugin,Closed,1223,9282,492,34,41,3352,80.21,23067,227,78,18,5,1,9.11,2,10,409,2787,1,0,1,0,1,2021-10-08,2021-10-11,Medium
BUG-000048,XSS,Scheduler,Development,Web,Windows11,Safari,Client,Integration,In_Progress,436,3954,308,1,50,2875,95.24,13887,11,38,9,9,15,43.11,2,3,527,1571,1,0,0,0,1,2022-07-23,2022-07-24,Low
BUG-000049,NetworkTimeout,FileStorage,Production,Web,CentOS7,Firefox,Client,ThirdParty,Reopened,2686,1191,148,34,12,3008,52.34,42561,480,58,34,5,13,66.99,5,8,535,62,0,1,0,0,0,2023-06-08,2023-06-10,Critical
BUG-000050,NullPointerException,Analytics,Development,API,iOS16,Chrome,QA_Engineer,ThirdParty,In_Progress,861,3562,205,35,15,140,0.66,44023,193,414,28,2,6,97.05,1,8,460,2730,0,1,0,0,0,2022-09-24,2022-10-11,Low
BUG-000051,AuthBypass,FileStorage,Staging,Web,Windows11,Chrome,Developer,Internal,In_Progress,234,3251,301,16,7,3530,5.8,48511,313,694,21,5,9,62.8,5,9,990,477,1,0,0,1,1,2022-12-03,2022-12-31,High
BUG-000052,InfiniteLoop,EmailService,UAT,iOS,Windows11,Firefox,Product_Manager,Core,Resolved,4912,13005,518,34,3,2796,97.86,33830,237,419,35,9,34,55.88,4,9,168,1176,0,0,0,0,1,2023-06-05,2023-06-22,Critical
BUG-000053,UIGlitch,Reporting,QA,Web,Windows10,Safari,Developer,ThirdParty,Open,2692,1282,124,49,26,2954,76.19,45064,253,574,28,7,27,25.01,4,9,272,219,1,1,0,0,1,2021-04-20,2021-05-13,High
BUG-000054,NullPointerException,SearchEngine,QA,API,iOS16,Edge,QA_Engineer,Plugin,Closed,659,13866,213,11,69,3199,40.44,49627,224,65,16,10,35,98.33,4,8,201,468,0,1,0,0,0,2021-10-07,2021-10-09,Medium
BUG-000055,NullPointerException,FileStorage,Development,API,Windows10,Edge,End_User,ThirdParty,Closed,188,7467,162,18,87,319,54.51,2915,431,514,31,10,22,86.17,0,8,931,2564,0,0,1,0,0,2023-01-14,2023-02-04,Medium
BUG-000056,NetworkTimeout,Notification,UAT,Web,CentOS7,Firefox,End_User,Core,Closed,194,7004,117,12,70,331,22.35,17597,160,241,37,6,14,55.62,1,6,659,14,0,0,0,0,1,2021-10-14,2021-10-24,High
BUG-000057,UIGlitch,UserManagement,Development,iOS,macOS13,Mobile_App,End_User,Internal,Closed,716,100,225,2,34,2498,30.63,4142,108,330,2,6,29,89.12,4,1,169,153,0,0,0,1,0,2023-06-02,2023-06-15,Low
BUG-000058,UncaughtException,Reporting,Development,API,Ubuntu20,Mobile_App,End_User,Plugin,Open,2699,13605,514,3,2,694,29.29,42351,244,207,48,1,47,96.96,1,2,31,664,0,0,1,1,1,2021-07-05,2021-07-13,Medium
BUG-000059,XSS,Notification,Development,iOS,CentOS7,Chrome,QA_Engineer,Plugin,Reopened,54,3003,120,3,35,2169,16.25,34693,21,583,2,1,28,58.55,4,4,920,407,0,0,1,0,0,2022-02-24,2022-03-20,Low
BUG-000060,DataCorruption,EmailService,UAT,Android,Ubuntu20,Firefox,Product_Manager,Internal,Open,1974,2584,496,25,30,72,65.28,23986,41,133,9,3,30,46.24,1,9,754,688,0,0,1,1,0,2023-02-25,2023-03-02,Critical
BUG-000061,XSS,DataPipeline,Development,API,Windows11,Firefox,QA_Engineer,Integration,Closed,306,896,246,6,28,2669,97.64,40667,378,358,31,0,47,76.08,5,6,413,1248,0,0,1,1,0,2023-01-20,2023-02-03,Low
BUG-000062,NullPointerException,Scheduler,Development,Desktop,Ubuntu20,Safari,Developer,Plugin,In_Progress,2209,3371,240,37,75,3337,21.36,28047,67,649,19,1,10,31.28,3,0,775,2119,1,0,0,0,0,2021-01-16,2021-02-12,Medium
BUG-000063,NetworkTimeout,Reporting,Development,API,Windows10,N/A,Client,Internal,Open,4123,6741,513,20,28,1526,3.17,28857,269,470,26,3,41,2.05,5,3,147,59,1,0,0,0,0,2023-08-22,2023-09-10,High
BUG-000064,LogicError,FileStorage,Development,Web,Ubuntu20,Mobile_App,End_User,ThirdParty,Reopened,722,750,256,2,83,3005,38.26,27414,347,384,32,2,48,15.9,3,3,752,2403,0,0,1,1,0,2021-10-29,2021-11-14,Low
BUG-000065,ConfigError,Analytics,QA,Desktop,Windows11,Chrome,Client,Integration,Reopened,1731,8330,493,38,9,1287,15.48,46433,197,214,43,10,44,6.97,0,10,606,2879,0,0,1,0,0,2022-01-16,2022-01-24,High
BUG-000066,IncorrectCalculation,DataPipeline,Development,Desktop,Ubuntu20,N/A,End_User,Plugin,Closed,337,1006,552,3,33,976,67.72,7151,174,697,15,4,35,76.2,3,7,794,2150,0,0,0,0,0,2023-04-30,2023-05-29,Low
BUG-000067,IncorrectCalculation,Analytics,Development,Web,iOS16,Mobile_App,Product_Manager,Core,Resolved,811,14138,149,8,13,1843,50.84,13265,450,229,0,2,33,87.54,0,4,625,1733,0,0,0,0,0,2022-02-01,2022-02-10,Medium
BUG-000068,UIGlitch,Frontend,QA,Web,Android12,Firefox,DevOps,Plugin,Reopened,2935,12828,201,86,1,2541,22.59,22875,47,625,25,4,28,71.77,2,1,402,2783,0,0,0,1,0,2023-01-15,2023-02-10,High
BUG-000069,AuthBypass,Frontend,Staging,Android,macOS13,N/A,Developer,Integration,Closed,440,6752,557,25,11,2226,27.99,27698,296,349,19,4,34,63.83,2,6,536,1939,0,0,0,0,0,2022-05-24,2022-06-07,High
BUG-000070,ConfigError,Scheduler,Development,API,Ubuntu20,Edge,QA_Engineer,Integration,Closed,1558,985,346,6,51,544,51.6,34786,487,602,22,6,30,80.3,5,8,419,348,0,0,1,0,0,2023-11-19,2023-12-14,Low
BUG-000071,InfiniteLoop,Scheduler,Production,iOS,iOS16,Chrome,Developer,ThirdParty,Open,4790,11513,269,40,33,966,16.6,3562,28,140,47,6,41,55.73,2,6,138,578,0,1,0,1,0,2021-04-12,2021-04-17,Critical
BUG-000072,InfiniteLoop,CacheLayer,QA,iOS,iOS16,Safari,DevOps,Core,In_Progress,3887,1566,533,1,69,1809,77.37,44756,325,349,44,1,25,20.16,4,9,444,150,0,0,0,1,0,2023-01-21,2023-02-04,High
BUG-000073,ConfigError,EmailService,Development,iOS,CentOS7,Safari,DevOps,Plugin,Reopened,789,1030,436,37,57,3699,19.09,28336,169,28,2,2,23,12.97,2,4,564,2272,1,1,0,0,0,2022-07-18,2022-07-19,Medium
BUG-000074,IncorrectCalculation,FileStorage,Production,Web,Ubuntu20,Chrome,Client,Core,Resolved,887,2549,192,16,42,3513,67.96,18750,404,156,21,10,17,45.51,2,3,186,1953,1,0,1,0,1,2023-08-04,2023-08-10,Critical
BUG-000075,AuthBypass,Frontend,Production,iOS,iOS16,Firefox,DevOps,Integration,Resolved,1959,11024,176,54,33,776,96.31,41642,144,115,19,2,44,75.17,2,2,197,2698,0,0,0,1,0,2022-09-23,2022-09-27,Critical
BUG-000076,CrashOnLaunch,EmailService,Development,API,Android12,Edge,Product_Manager,Plugin,Open,2293,3144,226,10,16,1738,35.47,39682,178,43,43,8,39,77.56,4,7,657,2331,1,0,0,1,1,2023-10-21,2023-10-22,High
BUG-000077,NullPointerException,EmailService,Development,Desktop,Windows11,Mobile_App,Client,Internal,In_Progress,1768,1730,248,88,32,1663,59.83,2883,341,643,20,3,26,31.24,2,7,960,855,0,0,0,1,0,2022-11-16,2022-12-12,High
BUG-000078,ConfigError,EmailService,Development,iOS,Windows10,Safari,Product_Manager,Core,Resolved,2628,459,590,8,78,262,2.06,39335,11,634,46,8,4,72.72,0,8,841,2705,0,0,0,0,0,2023-07-21,2023-08-16,Medium
BUG-000079,XSS,SearchEngine,Development,Web,Windows10,N/A,Product_Manager,ThirdParty,In_Progress,64,3617,309,17,64,3603,4.31,44936,317,445,41,6,37,84.8,4,9,566,767,0,1,1,1,1,2023-04-13,2023-05-01,Low
BUG-000080,NullPointerException,DataPipeline,UAT,Desktop,Android12,Safari,Client,Core,Reopened,2965,9507,505,19,93,227,78.96,34997,217,374,4,10,35,82.22,5,1,753,2957,0,0,0,1,0,2022-09-07,2022-09-22,High
BUG-000081,APIFailure,SearchEngine,Staging,iOS,macOS13,Safari,Developer,Core,Resolved,871,5621,495,23,21,1839,70.08,13222,267,353,33,7,19,67.05,4,3,564,564,0,0,1,0,0,2022-05-02,2022-05-16,High
BUG-000082,SQLInjection,SearchEngine,Development,Android,Windows11,N/A,Developer,Core,Open,1772,999,113,22,3,4055,56.48,7589,189,155,6,10,5,66.33,4,9,349,2375,0,0,0,1,0,2021-08-16,2021-08-22,Medium
BUG-000083,InfiniteLoop,Analytics,QA,Android,Ubuntu20,Chrome,QA_Engineer,Core,Reopened,413,7409,529,77,9,751,82.32,13614,390,134,48,7,20,73.96,0,6,843,246,1,1,1,1,0,2022-11-17,2022-11-22,Critical
BUG-000084,UIGlitch,FileStorage,Staging,Web,macOS13,Safari,Developer,Core,Reopened,365,10660,337,12,12,495,83.13,30108,380,48,27,2,44,74.9,1,0,996,146,1,1,0,0,1,2021-12-13,2021-12-15,Medium
BUG-000085,UIGlitch,Frontend,Development,Android,iOS16,Chrome,End_User,Plugin,In_Progress,374,4781,382,3,98,3794,69.99,38709,430,178,33,9,20,93.67,3,0,859,575,1,0,1,0,0,2021-11-02,2021-11-09,Low
BUG-000086,XSS,Notification,Development,Desktop,Android12,Mobile_App,QA_Engineer,ThirdParty,In_Progress,888,1133,551,11,30,2802,28.99,24525,401,78,12,6,23,35.44,5,1,504,2310,1,0,1,1,1,2022-08-05,2022-08-08,Low
BUG-000087,APIFailure,SearchEngine,UAT,API,iOS16,Safari,Product_Manager,Integration,Resolved,621,872,201,17,21,1953,14.44,36242,259,720,6,7,29,52.02,5,1,695,322,0,0,1,0,0,2022-12-28,2023-01-27,Medium
BUG-000088,XSS,DataPipeline,Development,Desktop,Ubuntu20,Edge,Client,ThirdParty,In_Progress,564,139,441,12,69,1150,76.97,19481,218,114,11,7,46,48.26,0,10,254,2423,1,0,1,1,1,2023-10-04,2023-10-08,Low
BUG-000089,NullPointerException,FileStorage,UAT,Android,Windows10,N/A,Product_Manager,ThirdParty,Closed,2820,457,391,26,95,3969,62.39,27008,109,206,19,3,33,74.12,0,9,81,1149,1,0,0,0,0,2022-01-04,2022-01-12,Medium
BUG-000090,MemoryLeak,CacheLayer,Development,Web,CentOS7,Mobile_App,Client,Internal,In_Progress,3067,10138,536,4,84,2241,59.75,3454,386,479,37,5,48,94.23,2,3,916,2258,0,0,1,0,1,2022-10-21,2022-11-09,High
BUG-000091,AuthBypass,CacheLayer,Development,iOS,macOS13,Edge,Developer,Internal,Open,381,12113,343,27,58,623,93.84,942,281,73,31,7,18,47.49,3,7,752,1087,0,0,0,1,0,2021-04-19,2021-04-22,High
BUG-000092,UncaughtException,Notification,Staging,Desktop,Ubuntu20,N/A,QA_Engineer,Plugin,Reopened,1116,264,145,9,17,1510,51.18,22387,203,462,43,2,33,80.3,0,6,480,2780,0,1,0,1,0,2021-09-01,2021-09-20,Medium
BUG-000093,APIFailure,Analytics,QA,Web,Ubuntu20,Firefox,End_User,Core,Closed,3067,7319,147,68,36,263,73.88,12735,83,311,43,6,14,75.25,3,4,741,1076,0,0,0,0,0,2023-02-06,2023-02-18,Critical
BUG-000094,DataCorruption,Authentication,UAT,API,Windows11,Chrome,Client,Integration,Resolved,2843,8567,344,20,11,363,2.78,28106,399,18,8,3,1,91.56,1,4,614,531,1,0,1,0,0,2022-12-12,2022-12-12,Critical
BUG-000095,XSS,EmailService,Development,iOS,macOS13,Mobile_App,End_User,Internal,Resolved,2324,7258,107,1,10,3521,78.02,17282,322,147,20,2,27,48.99,0,6,658,67,0,0,1,0,0,2022-03-24,2022-03-30,Low
BUG-000096,NullPointerException,Scheduler,Development,API,macOS13,Edge,Product_Manager,Integration,Resolved,1242,4509,310,6,85,1668,59.63,17926,283,272,6,6,5,9.39,0,6,39,349,0,0,0,1,1,2023-06-15,2023-06-26,Low
BUG-000097,IncorrectCalculation,SearchEngine,Development,Web,Android12,N/A,Developer,ThirdParty,Resolved,1764,722,423,12,22,2535,28.96,19101,309,697,24,3,9,49.54,0,8,760,610,0,0,0,0,1,2021-12-18,2022-01-16,Low
BUG-000098,IncorrectCalculation,FileStorage,Staging,Android,Windows10,Mobile_App,End_User,Plugin,Resolved,85,3485,193,15,57,887,25.88,38327,322,666,25,0,40,39.98,5,0,313,766,0,0,1,1,0,2022-07-14,2022-08-10,Medium
BUG-000099,InfiniteLoop,UserManagement,QA,Android,Android12,N/A,QA_Engineer,ThirdParty,Closed,498,6290,272,4,94,2057,70.61,43564,455,237,50,6,44,44.09,0,10,1000,2975,0,0,1,0,0,2021-02-18,2021-02-27,High
BUG-000100,NullPointerException,FileStorage,Development,API,Android12,Mobile_App,Developer,Internal,Reopened,4957,3648,560,37,6,3640,38.77,7228,260,268,38,7,3,41.5,0,0,956,45,1,1,1,0,0,2022-06-18,2022-06-29,Medium
BUG-000101,LogicError,Analytics,Development,Desktop,macOS13,N/A,Client,Plugin,Reopened,398,14007,536,18,25,2345,28.72,2753,108,77,24,0,43,35.79,4,2,438,1768,0,1,0,0,0,2022-07-26,2022-07-29,Medium
BUG-000102,FileNotFound,SearchEngine,Development,Android,Windows11,Firefox,Client,Integration,Resolved,487,1747,291,21,28,50,14.7,18377,155,543,28,6,8,0.2,1,3,896,1002,0,0,0,1,0,2022-06-23,2022-07-15,Low
BUG-000103,NullPointerException,FileStorage,Development,API,macOS13,Chrome,Product_Manager,Plugin,Open,1838,4743,158,2,47,4049,77.56,45023,352,146,10,10,24,24.07,4,9,480,593,1,1,1,0,1,2022-03-16,2022-03-22,Low
BUG-000104,NetworkTimeout,EmailService,Development,Web,CentOS7,Mobile_App,Product_Manager,ThirdParty,Closed,1102,4785,382,3,54,1824,35.52,43735,264,200,11,2,12,80.24,5,0,868,1515,0,0,0,0,0,2022-05-05,2022-05-13,Medium
BUG-000105,FileNotFound,SearchEngine,Development,iOS,Ubuntu20,N/A,QA_Engineer,Internal,Reopened,3624,742,326,5,83,1200,28.9,41406,272,75,30,8,13,84.3,0,4,412,2285,0,0,1,1,0,2021-02-27,2021-03-02,Medium
BUG-000106,DataCorruption,UserManagement,Development,API,Windows10,Firefox,Client,Integration,In_Progress,3608,14158,567,2,17,3653,35.83,1899,141,465,12,0,2,19.22,3,8,56,499,0,0,0,0,1,2023-01-10,2023-01-29,High
BUG-000107,UIGlitch,Authentication,QA,Web,CentOS7,N/A,Client,Internal,Resolved,861,4202,451,74,30,113,67.6,44661,242,26,32,9,46,3.46,1,8,883,2306,0,0,1,1,0,2021-03-31,2021-04-01,High
BUG-000108,Deadlock,UserManagement,Staging,API,Windows10,Firefox,Client,ThirdParty,Resolved,718,12107,533,87,6,1484,36.09,7848,290,372,14,10,49,46.14,5,5,237,2272,0,1,0,0,0,2022-02-11,2022-02-26,Critical
BUG-000109,FileNotFound,Analytics,Development,API,macOS13,Safari,Product_Manager,Core,Resolved,10,545,303,8,87,397,44.79,804,115,558,6,10,41,25.34,5,2,329,2524,1,0,0,1,0,2021-10-17,2021-11-09,Low
BUG-000110,XSS,EmailService,Development,Android,iOS16,N/A,DevOps,ThirdParty,In_Progress,1122,7428,391,1,0,3969,71.77,49512,53,529,26,5,23,88.36,2,6,375,273,1,0,1,1,0,2022-07-16,2022-08-07,Low
BUG-000111,NullPointerException,Analytics,QA,Android,Ubuntu20,Edge,QA_Engineer,ThirdParty,Reopened,624,10780,387,2,24,2727,47.67,15573,212,420,10,8,11,32.95,0,9,559,1063,0,0,1,0,0,2021-03-27,2021-04-13,Low
