bug_type,component,environment,platform,operating_system,browser,reporter_role,module,status,affected_users,response_time_ms,error_code,business_impact_score,reproduction_rate,memory_usage_mb,cpu_usage_pct,lines_of_code,open_issues_count,fix_time_hours,num_comments,num_attachments,sprint_number,test_coverage_pct,reopen_count,num_linked_bugs,api_call_count,db_query_time_ms,is_regression,is_security_related,has_workaround,customer_reported,sla_breached,severity
19,13,0,3,3,4,4,4,1,64,3617,309,17,64,3603,4.31,44936,317,445,41,6,37,84.8,4,9,566,767,0,1,1,1,1,2
13,4,4,2,0,5,0,0,3,2965,9507,505,19,93,227,78.96,34997,217,374,4,10,35,82.22,5,1,753,2957,0,0,0,1,0,1
0,13,3,4,6,5,2,0,4,871,5621,495,23,21,1839,70.08,13222,267,353,33,7,19,67.05,4,3,564,564,0,0,1,0,0,1
16,13,0,1,4,4,2,0,2,1772,999,113,22,3,4055,56.48,7589,189,155,6,10,5,66.33,4,9,349,2375,0,0,0,1,0,3
9,1,2,1,2,0,5,0,3,413,7409,529,77,9,751,82.32,13614,390,134,48,7,20,73.96,0,6,843,246,1,1,1,1,0,0
17,7,3,3,6,5,2,0,3,365,10660,337,12,12,495,83.13,30108,380,48,27,2,44,74.9,1,0,996,146,1,1,0,0,1,3
17,8,0,1,5,0,3,3,1,374,4781,382,3,98,3794,69.99,38709,430,178,33,9,20,93.67,3,0,859,575,1,0,1,0,0,2
19,9,0,2,0,3,5,4,1,888,1133,551,11,30,2802,28.99,24525,401,78,12,6,23,35.44,5,1,504,2310,1,0,1,1,1,2
0,13,4,0,5,5,4,1,4,621,872,201,17,21,1953,14.44,36242,259,720,6,7,29,52.02,5,1,695,322,0,0,1,0,0,3
19,4,0,2,2,1,0,4,1,564,139,441,12,69,1150,76.97,19481,218,114,11,7,46,48.26,0,10,254,2423,1,0,1,1,1,2
13,7,4,1,3,4,4,4,0,2820,457,391,26,95,3969,62.39,27008,109,206,19,3,33,74.12,0,9,81,1149,1,0,0,0,0,3
11,3,0,3,1,3,0,2,1,3067,10138,536,4,84,2241,59.75,3454,386,479,37,5,48,94.23,2,3,916,2258,0,0,1,0,1,1
1,3,0,4,6,1,2,2,2,381,12113,343,27,58,623,93.84,942,281,73,31,7,18,47.49,3,7,752,1087,0,0,0,1,0,1
18,9,3,2,2,4,5,3,3,1116,264,145,9,17,1510,51.18,22387,203,462,43,2,33,80.3,0,6,480,2780,0,1,0,1,0,3
0,1,2,3,2,2,3,0,0,3067,7319,147,68,36,263,73.88,12735,83,311,43,6,14,75.25,3,4,741,1076,0,0,0,0,0,0
5,2,4,0,4,0,0,1,4,2843,8567,344,20,11,363,2.78,28106,399,18,8,3,1,91.56,1,4,614,531,1,0,1,0,0,0
19,6,0,4,6,3,3,2,4,2324,7258,107,1,10,3521,78.02,17282,322,147,20,2,27,48.99,0,6,658,67,0,0,1,0,0,2
13,12,0,0,6,1,4,1,4,1242,4509,310,6,85,1668,59.63,17926,283,272,6,6,5,9.39,0,6,39,349,0,0,0,1,1,2
8,13,0,3,0,4,2,4,4,1764,722,423,12,22,2535,28.96,19101,309,697,24,3,9,49.54,0,8,760,610,0,0,0,0,1,2
8,7,3,1,3,3,3,3,4,85,3485,193,15,57,887,25.88,38327,322,666,25,0,40,39.98,5,0,313,766,0,0,1,1,0,3
9,14,2,1,0,4,5,4,0,498,6290,272,4,94,2057,70.61,43564,455,237,50,6,44,44.09,0,10,1000,2975,0,0,1,0,0,1
13,7,0,0,0,3,2,2,3,4957,3648,560,37,6,3640,38.77,7228,260,268,38,7,3,41.5,0,0,956,45,1,1,1,0,0,3
10,1,0,2,6,4,0,3,3,398,14007,536,18,25,2345,28.72,2753,108,77,24,0,43,35.79,4,2,438,1768,0,1,0,0,0,3
7,13,0,1,4,2,0,1,4,487,1747,291,21,28,50,14.7,18377,155,543,28,6,8,0.2,1,3,896,1002,0,0,0,1,0,2
13,7,0,0,6,0,4,3,2,1838,4743,158,2,47,4049,77.56,45023,352,146,10,10,24,24.07,4,9,480,593,1,1,1,0,1,2
12,6,0,3,1,3,4,4,0,1102,4785,382,3,54,1824,35.52,43735,264,200,11,2,12,80.24,5,0,868,1515,0,0,0,0,0,3
7,13,0,4,2,4,5,2,3,3624,742,326,5,83,1200,28.9,41406,272,75,30,8,13,84.3,0,4,412,2285,0,0,1,1,0,3
5,14,0,0,3,2,0,1,1,3608,14158,567,2,17,3653,35.83,1899,141,465,12,0,2,19.22,3,8,56,499,0,0,0,0,1,1
17,2,2,3,1,4,0,2,4,861,4202,451,74,30,113,67.6,44661,242,26,32,9,46,3.46,1,8,883,2306,0,0,1,1,0,1
6,14,3,0,3,2,0,4,4,718,12107,533,87,6,1484,36.09,7848,290,372,14,10,49,46.14,5,5,237,2272,0,1,0,0,0,0
7,1,0,0,6,5,4,0,4,10,545,303,8,87,397,44.79,804,115,558,6,10,41,25.34,5,2,329,2524,1,0,0,1,0,2
19,6,0,1,5,4,1,4,1,1122,7428,391,1,0,3969,71.77,49512,53,529,26,5,23,88.36,2,6,375,273,1,0,1,1,0,2
13,1,2,1,2,1,5,4,3,624,10780,387,2,24,2727,47.67,15573,212,420,10,8,11,32.95,0,9,559,1063,0,0,1,0,0,2
10,1,0,4,6,0,5,2,2,752,1251,512,1,65,2724,21.86,121,457,381,44,0,25,26.27,5,4,391,763,0,0,0,0,0,2
19,8,2,2,6,2,0,1,3,701,13959,153,4,53,3316,46.78,35596,217,383,15,4,44,95.49,0,5,933,2031,0,0,1,1,0,2
14,12,0,0,6,0,2,3,1,1210,2303,313,19,13,2117,29.04,9291,111,620,31,4,35,31.78,4,8,385,374,0,0,0,1,1,3
14,12,0,2,0,4,5,3,2,2371,3175,400,13,29,2053,5.82,20962,245,126,16,2,37,50.13,3,3,824,1919,0,0,0,1,0,3
19,12,0,3,3,2,4,0,4,3725,1318,246,11,78,3895,47.1,9986,476,569,44,5,45,94.91,1,5,845,1545,0,0,0,0,0,3
13,9,1,0,3,5,5,1,4,2584,777,292,3,9,741,77.41,38574,317,492,46,3,32,37.78,4,2,223,758,1,0,0,1,1,3
10,1,2,1,0,4,0,0,3,2567,9463,205,30,84,775,58.47,47570,479,344,10,0,40,89.87,3,3,13,2691,0,0,1,0,1,1
13,8,2,1,5,4,1,3,2,1932,13801,315,65,23,3848,36.82,47778,316,327,8,3,14,84.06,0,8,491,2611,0,0,0,1,0,1
17,13,0,3,1,5,2,4,1,87,1263,428,12,62,3494,77.11,39507,437,131,4,9,11,47.93,2,1,661,1927,1,1,1,0,0,2
7,6,2,0,2,0,0,4,2,249,885,365,14,40,331,42.97,25603,99,215,14,0,23,24.68,5,5,414,2512,1,1,1,0,0,2
2,0,0,1,2,1,2,0,2,70,12047,590,2,15,2982,13.18,11311,195,654,32,0,10,83.22,3,6,317,345,0,0,0,0,1,1
19,13,2,2,2,2,4,1,0,1305,325,578,7,36,3319,10.16,19727,493,564,28,6,45,8.98,3,7,312,1434,0,0,0,0,0,2
19,1,3,0,6,1,4,0,4,450,13443,273,1,19,2202,60.04,16258,289,428,4,8,26,14.33,2,1,202,2952,0,1,1,0,1,3
17,1,0,3,3,1,0,4,4,745,3514,267,17,25,3352,39.48,11164,466,369,22,2,21,66.62,4,2,500,2846,1,1,0,0,1,2
0,3,2,2,0,3,0,2,1,1359,10167,334,7,52,1778,15.27,14953,9,502,30,6,32,87.72,2,6,225,1861,0,0,0,0,0,1
19,11,2,1,3,5,2,1,1,992,648,593,16,7,3049,6.5,20687,205,711,8,7,21,94.81,2,8,535,836,0,0,1,1,0,2
18,6,0,4,5,0,1,2,2,1159,12745,478,68,32,3761,31.67,31619,404,473,19,3,44,9.2,1,4,164,1631,0,0,0,1,0,1
14,3,1,3,0,5,2,0,3,1423,2312,536,70,45,2301,75.52,19580,107,232,15,9,37,8.08,3,3,702,489,0,0,0,0,0,0
4,9,0,4,5,1,1,0,0,1207,4325,302,54,27,1713,22.12,34246,192,457,40,4,35,94.92,3,8,904,2686,1,0,0,1,1,1
17,2,3,0,5,1,3,4,1,1531,201,153,47,19,2621,36.74,32772,315,451,4,8,48,3.35,0,8,870,274,0,0,1,0,0,1
19,9,0,2,5,4,3,4,1,4134,421,328,21,13,1411,91.33,44835,108,431,23,10,48,55.39,0,9,317,543,0,0,0,0,0,2
13,9,0,3,4,5,4,2,2,3472,8964,222,47,56,2352,0.22,47465,444,475,36,5,12,60.68,0,10,104,22,0,1,1,0,0,1
12,1,0,3,3,3,0,0,1,3829,4339,371,59,19,1823,86.22,9559,12,351,50,1,19,13.7,1,4,206,2085,0,0,0,1,1,1
10,9,0,0,3,0,0,0,2,762,2260,180,8,10,788,62.38,17064,335,657,11,2,3,44.86,1,3,193,2546,0,0,0,0,0,2
7,14,0,3,6,3,5,1,1,3803,13759,398,43,29,1908,72.25,48823,279,76,12,3,6,54.65,5,8,581,2834,1,0,0,0,0,1
15,7,2,4,0,1,0,4,4,181,6370,487,12,46,2754,41.85,4496,410,277,48,7,35,4.57,4,5,845,534,0,0,1,1,0,3
17,7,0,0,5,2,0,2,0,776,1745,413,2,84,648,72.11,37142,158,195,29,7,44,4.15,3,1,978,1580,0,1,0,0,0,2
13,13,0,0,5,4,0,4,3,848,5078,554,12,31,979,29.75,41731,349,625,49,10,41,9.7,3,10,605,1617,0,0,0,0,1,2
11,2,1,1,6,4,5,1,1,1938,5689,419,48,59,3366,97.03,35600,194,198,33,8,47,71.88,5,0,196,1294,0,0,0,1,0,0
0,2,4,4,4,3,4,1,1,2539,12553,383,26,65,3902,64.95,38360,494,57,49,5,42,16.6,1,1,598,1483,1,0,0,0,0,0
4,2,2,4,4,2,4,1,3,1246,4660,291,62,16,1314,98.93,23742,86,610,12,2,50,21.57,2,5,194,967,1,0,0,1,1,0
7,13,4,2,3,5,1,1,1,3558,9535,577,7,16,1923,84.23,45341,453,270,7,3,43,57.48,4,3,386,2479,0,0,1,0,0,1
1,9,0,1,1,0,4,1,3,4506,7418,339,34,93,847,6.75,37364,246,589,31,1,10,7.29,1,4,979,1164,0,0,0,0,1,0
7,6,3,2,1,5,2,4,2,2352,82,383,49,0,426,40.76,27224,234,84,17,1,39,29.61,5,8,394,2681,0,0,0,0,1,1
17,8,0,0,4,2,2,1,1,1682,1908,225,3,25,1147,3.83,29922,438,600,37,5,7,48.21,3,0,895,1586,0,0,1,0,0,2
9,7,3,3,1,0,5,1,0,2822,1031,195,24,70,1565,31.07,24548,383,704,13,6,25,61.08,2,7,256,2743,1,0,1,0,0,0
12,6,0,1,5,5,1,0,0,325,863,116,23,59,2082,14.51,10301,287,143,37,3,46,34.17,4,2,82,2616,1,0,0,1,0,3
17,0,4,4,4,3,3,1,0,829,759,295,1,98,3579,44.91,24038,84,76,32,8,38,38.8,1,9,222,1489,0,0,1,0,0,3
1,2,1,3,5,2,4,3,3,1909,1912,569,45,26,501,38.61,8813,97,106,4,7,48,28.02,4,2,479,2896,1,1,0,1,0,0
19,14,0,1,5,3,0,1,4,1402,1160,202,31,2,1820,32.39,42416,262,234,14,6,13,21.8,4,3,308,1510,0,1,0,1,1,2
13,6,0,3,2,2,2,2,2,1724,1750,117,7,54,4049,99.74,2263,62,687,41,0,50,59.93,5,9,902,1770,0,1,0,0,0,2
17,2,2,3,1,1,1,3,1,93,6244,238,38,75,1105,63.7,1242,27,42,11,9,37,48.95,4,8,612,119,0,1,1,1,0,1
4,7,0,4,3,4,5,1,4,967,6725,505,54,98,1114,87.09,34323,394,507,34,0,2,27.66,0,8,617,2403,0,0,0,1,0,0
19,3,0,2,3,5,1,2,3,1137,9998,319,1,8,889,37.87,39689,236,562,14,8,32,18.48,2,3,939,1603,0,0,1,1,0,2
13,9,4,4,4,3,3,3,1,15,2191,110,5,4,1591,31.8,46297,393,349,38,4,25,55.38,5,8,751,2906,0,0,0,0,0,2
13,5,3,3,4,0,5,1,0,1734,13026,403,53,46,2844,85.46,49529,103,238,38,9,17,68.16,3,1,191,662,0,0,0,0,1,0
19,6,0,1,5,4,1,4,1,1122,7428,391,1,0,3969,71.77,49512,53,529,26,5,23,88.36,2,6,375,273,1,0,1,1,0,2
18,1,2,1,5,2,1,0,3,1952,705,219,43,70,125,15.77,17483,225,298,31,1,31,48.05,5,8,587,2023,1,0,0,0,1,1
10,0,4,0,1,0,3,3,4,4361,11922,381,19,65,2348,54.93,576,134,625,22,5,35,79.08,3,4,861,2683,0,0,1,1,0,0
16,7,0,1,5,0,2,2,3,4803,864,353,23,70,1169,9.12,6098,427,567,11,4,48,74.72,2,4,537,1022,0,0,0,0,1,1
3,2,0,4,1,1,1,3,2,728,6034,440,2,55,513,26.74,13422,403,254,40,2,2,86.68,4,0,309,2387,0,0,1,0,0,3
3,9,0,2,2,4,5,0,0,120,831,348,12,66,2654,15.37,1521,110,629,10,0,28,46.07,5,3,479,996,0,1,0,1,0,2
14,2,0,3,6,2,5,0,1,3910,13193,509,72,32,3628,73.32,12967,132,294,50,1,19,56.03,5,1,110,295,0,1,1,0,0,0
16,6,0,2,6,5,3,2,0,3101,11585,455,85,68,460,91.86,39754,294,318,23,9,38,81.77,5,9,459,2593,0,0,0,0,0,0
19,9,2,3,3,0,0,4,0,1109,3317,182,15,23,611,23.46,48240,48,370,38,10,48,84.53,3,6,981,1597,0,1,1,1,0,2
18,13,1,3,0,4,1,1,3,2921,1613,505,51,46,177,88.31,15196,293,482,18,7,12,34.23,3,8,384,1913,0,0,0,0,0,0
17,2,1,1,4,4,2,3,1,3368,10118,183,94,36,3702,4.66,40516,44,687,44,5,40,69.98,4,5,437,2055,1,0,1,0,1,0
6,6,4,0,1,0,4,2,1,1001,1344,317,47,9,728,40.7,7601,357,511,39,6,18,4.82,1,4,670,2196,0,0,0,0,0,1
8,12,2,0,4,1,5,3,2,1907,11654,297,39,77,2495,54.95,37149,293,615,17,8,19,19.41,4,0,318,1732,0,0,0,0,0,1
0,14,0,3,2,3,5,0,3,4743,5874,122,18,82,3515,46.7,41731,403,607,3,2,2,24.65,0,1,393,2219,1,0,0,0,0,0
5,4,1,2,5,0,1,0,4,2850,9013,127,61,48,3110,3.87,25903,88,443,5,6,45,27.48,2,8,475,2867,0,0,1,1,0,0
17,13,0,4,3,2,2,3,0,1502,10269,295,1,50,2199,36.71,31361,382,442,24,3,1,84.17,3,6,468,2819,1,0,0,0,0,2
17,1,2,4,6,4,4,0,1,1060,2663,571,14,51,1816,91.03,47731,352,30,1,9,18,65.41,3,1,388,258,0,0,1,1,0,2
18,3,2,3,2,2,2,1,2,784,14330,563,18,62,2776,46.51,45005,341,193,27,7,7,16.39,3,2,729,1999,0,0,0,1,0,1
17,14,0,2,2,3,3,0,0,422,11045,366,2,15,2274,20.9,41887,166,696,44,4,10,13.79,5,3,376,2286,0,0,1,0,0,2
17,9,2,4,6,5,3,4,1,750,11616,598,19,60,230,59.57,49022,222,483,23,5,38,32.75,2,9,134,384,1,0,0,1,0,3
19,12,4,4,2,0,1,2,4,1466,9069,540,19,14,2418,1.91,33123,182,489,11,5,30,7.07,2,1,563,1605,0,0,1,1,0,3
13,7,3,4,0,1,2,4,2,3910,560,557,1,64,3572,12.96,1247,31,602,16,8,21,25.23,2,5,763,2793,0,0,1,0,0,3
7,3,3,3,1,1,0,4,4,1674,398,211,40,84,1426,6.63,29260,330,664,10,0,16,88.42,4,0,243,1926,0,0,1,0,0,1
0,0,0,2,3,1,5,0,0,2994,2405,184,35,27,3907,43.48,34874,278,3,0,2,5,54.67,2,2,623,1584,0,0,1,1,1,1
0,7,2,2,1,0,1,2,0,517,10384,345,47,73,3166,49.73,42541,79,590,28,7,41,26.92,4,4,754,1103,0,0,0,0,0,1
3,9,0,2,6,4,5,4,3,4732,8252,326,23,51,1196,51.24,45687,488,589,33,7,41,81.49,2,4,837,2135,1,1,0,0,0,1
17,4,3,2,6,4,1,2,0,161,1274,510,24,34,2832,82.43,32626,289,568,1,0,18,68.51,5,9,237,432,0,0,1,0,0,3
